time	V(n003)	V(n005)
7.896427623550098e-007	1.965414e+001	3.118881e+001
7.974552623550097e-007	1.965412e+001	3.118761e+001
8.052677623550097e-007	1.965411e+001	3.118645e+001
8.130802623550097e-007	1.965409e+001	3.118530e+001
8.208927623550097e-007	1.965408e+001	3.118418e+001
8.287052623550097e-007	1.965406e+001	3.118309e+001
8.365177623550096e-007	1.965405e+001	3.118202e+001
8.443302623550096e-007	1.965403e+001	3.118097e+001
8.521427623550096e-007	1.965401e+001	3.117995e+001
8.599552623550096e-007	1.965400e+001	3.117895e+001
8.677677623550095e-007	1.965399e+001	3.117797e+001
8.755802623550095e-007	1.965397e+001	3.117701e+001
8.833927623550095e-007	1.965396e+001	3.117607e+001
8.912052623550095e-007	1.965395e+001	3.117515e+001
8.990177623550095e-007	1.965394e+001	3.117425e+001
9.068302623550094e-007	1.965392e+001	3.117337e+001
9.146427623550094e-007	1.965391e+001	3.117251e+001
9.224552623550094e-007	1.965390e+001	3.117166e+001
9.380802623550093e-007	1.965388e+001	3.117003e+001
9.537052623550094e-007	1.965385e+001	3.116846e+001
9.615177623550094e-007	1.965384e+001	3.116770e+001
9.693302623550094e-007	1.965383e+001	3.116695e+001
9.771427623550093e-007	1.965382e+001	3.116622e+001
9.849552623550093e-007	1.965381e+001	3.116551e+001
9.927677623550093e-007	1.965386e+001	3.116490e+001
9.927687623550093e-007	1.965386e+001	3.116489e+001
9.927707623550094e-007	1.965385e+001	3.116488e+001
9.927747623550095e-007	1.965383e+001	3.116485e+001
9.927827623550097e-007	1.965382e+001	3.116483e+001
9.927987623550102e-007	1.965381e+001	3.116481e+001
9.928168127641843e-007	1.965381e+001	3.116480e+001
9.928475809601642e-007	1.965380e+001	3.116480e+001
9.929081254166504e-007	1.965380e+001	3.116479e+001
9.930292143296226e-007	1.965380e+001	3.116478e+001
9.932713921555670e-007	1.965380e+001	3.116476e+001
9.947244591112335e-007	1.965380e+001	3.116463e+001
9.966618817187888e-007	1.965380e+001	3.116446e+001
9.966648817187889e-007	1.965380e+001	3.116446e+001
9.966688817187890e-007	1.965380e+001	3.116446e+001
1.000001000000000e-006	1.965379e+001	3.116416e+001
1.000001100000000e-006	1.965379e+001	3.116416e+001
1.000001300000000e-006	1.965379e+001	3.116415e+001
1.000001700000000e-006	1.965379e+001	3.116413e+001
1.000002000000000e-006	1.965379e+001	3.116412e+001
1.000002080000000e-006	1.965379e+001	3.116412e+001
1.000002240000000e-006	1.965379e+001	3.116412e+001
1.000002560000000e-006	1.965379e+001	3.116411e+001
1.000003200000000e-006	1.965379e+001	3.116410e+001
1.000004480000000e-006	1.965379e+001	3.116408e+001
1.000007040000000e-006	1.965379e+001	3.116405e+001
1.000012160000000e-006	1.965379e+001	3.116401e+001
1.000022400000001e-006	1.965379e+001	3.116396e+001
1.000042880000001e-006	1.965379e+001	3.116391e+001
1.000071107791380e-006	1.965379e+001	3.116392e+001
1.000102324993943e-006	1.965379e+001	3.116396e+001
1.000143101952214e-006	1.965379e+001	3.116402e+001
1.000198072621584e-006	1.965379e+001	3.116408e+001
1.000292790738910e-006	1.965380e+001	3.116414e+001
1.000427692366493e-006	1.965380e+001	3.116418e+001
1.000583062807795e-006	1.965380e+001	3.116419e+001
1.000792759351253e-006	1.965380e+001	3.116421e+001
1.001205209754881e-006	1.965380e+001	3.116424e+001
1.002030110562137e-006	1.965380e+001	3.116429e+001
1.003545099419657e-006	1.965380e+001	3.116434e+001
1.005073204435193e-006	1.965380e+001	3.116438e+001
1.007012739706297e-006	1.965380e+001	3.116440e+001
1.008995164343474e-006	1.965380e+001	3.116434e+001
1.010162488344802e-006	1.965380e+001	3.116420e+001
